,summonerName
118,NunuOnRengar
119,Defleck
120,999JW
121,dramat
122,Under beer
123,AdeIine
124,GG benQ Knight
125,InsideYouForEver
126,Dimil Q
127,LeonidasDeSparte
128,Saam Draven 8D
129,COCO Steven
130,Untryntas
131,rin ψ
132,jng is 2digitXD
133,Caesarll
134,Mïky
135,Ymengellice
136,wιη
137,KamiK6
138,Fokk
139,Ozkkan
140,Cresca
141,Mobangpum
142,Zikolo
143,Stínna
144,scorth ad
145,GandolfDerBraune
146,father of wym
147,Icy Liz
148,Regorommius
149,Dvide
150,Sonne3214
151,Yas and Chill
152,King Zurvan
153,Chiburril
154,Lennafenthes
155,ΖenDaR
156,GJA04
157,WanderingRictiq
158,Jannah Môntana
159,A Pink Cow
160,Spirit Cha
161,Sh0toT0doroki
162,SAS Wolf
163,hunziK1NG
164,SirBenney
165,Vaylišta
166,SlayerS ˆBoxeRˆ
167,Nino Poutso
168,Kurufeemo
169,Pschemek
170,Wildcards1
171,ABE Serenity
172,ReformedIIIIIIII
173,MeS Evan
174,xMaxis on West
175,Carlos Horizon
176,piss weasel
177,Isetanier
178,snaperskya
179,RITO IS FUN
180,Fateality 44
181,Skräll LEON DOG
182,Kata ga KiII
183,Daddy Strieker
184,will not forget
185,Light Of Lights
186,FioryXD
187,Vladimordin
188,reftheodez
189,C9 Häsagi
190,F I N l S H E R
191,TOP PRODIGY
192,Typhl0
193,CARL CARLS0N
194,XxXxKaynxXx
195,VICETØNE
196,CURSEDACCOUNT415
197,XERATH lS SCRIPT
198,Phoenix29LP
199,unlucky IQ XD
200,Blob jobs
201,MrHolst
202,Periscaterto
203,FeelsKaraliusMan
204,Trakke
0,Gosberg
1,New opportunity 
2,Preciöus 
3,Returder
4,antusheng
5,Anim4
6,Spitzweck
7,Korean Bus
8,RangerStrong
9,Walljump
10,Fulis on Top
11,Medøuze
12,MrDomius
13,jett lover
14,Hoes Up Gs Down
15,Viscâ
16,bepu in da house
17,Mr Kadachi
18,Exun
19,UUUUUUUUUUUU
20,Losowy Zadymiarz
21, Silixelf
22,Niose07
23,dragoonv2
24,Çûkûtay
25,Kishxki
26,zephhhh
27,RUSSKIY DOLBAEB
28,cba trying
29,Leitenant 666
30,Κinzu
31,Fall Guy 2033
32,HAF Poro
33,Puger
34,Deelix
35,AziNοx
36,LECSUPERSTARSUPP
37,chroIIo Iucilfer
38,saylens
39,i have faith
40,LoveRain
41,rotg0i0g0g
42,Ice Mage
43,Optimas
44,Busty Jessica
45,KING MANATY
46,LukiSteve
47,MyJungler200IQ
48,KeepOnKeepingOn
49,Bardd
50,Siusiak Hombre
51,Midmeya
52,9eetooo
53,Tobykachu
54,EUS JL
55,hammannx
56,Eunbin
57,DF inse
58,PërrierTranche
59,ALFA Yasuo
60,Baby Ramen
61,Absurd Taxer 
62,Mettwurst
63,20anstjrspuceau
64,Kim Deft
65,Reformed Reppy
66,Be your deer
67,no chat free win
68,Aincardz
69,HC Potent
70,Senyousart
71,another world
72,Tìzio
73,Hodný kluk
74,MadliF310UR
75,Kyuuba
76,kasadei
77,Suchex
78,FreestyleFilipek
79,Hula Hoop Lady
80,Reflect
81,Go Ha Go Ha
82,Qythien
83,7MDN
84,Wizbe
85,Latch1
86,MyTHArrow
87,BEST SUP NORWAY
88,I Dont Own Janna
89,Snacherna
90,Rajot Piernik
91,Tesco Meal Deal
92,Dön Patch
93,Stranger Twings
94,burgerflipper98
95,Scaevitus
96,KYS MAGES
97,CNH
98,sexy schoolgirl
99,Kαt4Reset
100,Rank 1 Südtirol
101,eGz Fear
102,Yanako
103,Etow
104,m7md7100 v3
105,Tykkimies
106,Nandemonai
107,relieve stress1
108,Choemi
109,Elyscent
110,Bethersham
111,FM GODDAM NARBEX
112,Diego DIO Brando
113,GLOWING v2
114, ˇ Bb
115,atoigii
116,Maciej Zaremba
117,KASIMlR
118,ßruski
119,Grim Re3per
120,Dubion
121,G0DPACA
122,Pangar Gossen
123,bit of a savant
124,ˇ SaberKuroyuki
125,Flanegien
126,Savage Tempest
127,Peremees
128,BG Aristochrate
129,I S0ny I
130,Tempo Suta
131,3 SHOT XDDDDDDD
132,HeLuo7
133,Lesteq
134,OMG Xin ZHAOOO
135,xRamson
136,FBB
137,xaroula
138,Sykkeltyven
139,ImperatoreNerone
140,Przegryw
141,ChadThυnderCøck
142,Swagstiaan
143,Silivriak
144,Hashtag 1
145,Fławłess
146,lövhögen v2
147,Hate the pain
148,Dawid
149,SamJonse37
150,eti ludi genii
151,GeTInSpiReD
152,Jooney
153,SGE Crossover
154,Zarotox
155,Usedtobeafungame
156,bench god
157,Itz Lunar2
158,UnluckyMoe
159,legit so sad
160,FallenRivals
161,18129
162,lil shmuzi vert
163,Never Ónè
164,Kirstai
165,L I Y A N
166,C9 Bunny Nemisy
167,2051541518
168,Klvs
169,pwn1
170,falshiito
171,iPaw
172,KatarinaMelody
173,brobabandah
174,BigDaddyN0tail
175,toxeec
176,N Λ S V Λ
177,τaru
178,Agalarov Estate
179,OPL Frappii
180,Adrian13PL
181,EgyptWonderKid
182,Veers
183,Srce u kartama
184,im gonna tryhard
185,ECF Tensor
186,Coneguy
187,Daxi4
188,Local Toplaner
189,Alexander Mahoné
190,deadalbury
191,RipperZhalo
192,monotropho
193,Rívelation
194,Pastor Ubaba
195,Goooooogy
196,downfromthesky
197,Shacpai
198,CryingEmojiUK
199,Jaka
200,jiaowomilk
201,Menedhwae
202,MORE SHIELDS PLZ
203,Temp7542315874
204,Hïtsu
0,GAM Ryou
1,8 ánd 24
2,Sezerushh
3,IamToxicSupport
4,warpathdemon
5,foop2legend
6,Yïsus
7,only feed thx
8,TragicDisaster
9,Amber Moonlight
10,The Heraxe
11,Sexy Plants
12,Puki style83
13,Ringabel666
14,ARAM Daddy Dani
15,Dincsen Kegyelem
16,noname setar
17,Itoniumek
18,MoonClouds
19,Stworza
20,ADOLFIN
21,Zippor
22,Damarlı Dürüm
23,Gutnac
24,Wavry
25,Sharnik
26,Naked System
27,Mouth of Sauron
28,bgoat
29,Lee Joo Ho Smurf
30,Lacasa De Darîus
31,Little C
32,BoostedAxton
33,SOLOTURK is Back
34,SlickSlothScrim
35,God1sBrazilian
36,Lewite
37,ImANinjaLZ
38,SuperNova750
39,Princess Thicc
40,Morcle
41,DarkGabbox
42,ZzzKINGGzzZ
43,Eogyse
44,xXMiyashiXx
45,IndoYasuo
46,Hïde øn bush
47,Poppy la pefra
48,BagarreVultMerci
49,ciuppati fangirl
50,ΨCowsep KidΨ
51,J35USs
52,SheSMySunlight
53,HeSMyMoonlight
54,SplitDis Three
55,X The BuTcHer X
56,desperado322
57,TouchThemThighs
58,Houng Dan Da
59,Lýnxes
60,The Lonely Sanga
61,Yone20ff
62,Ohrbassmuss
63,zunome
64,rtbf232875945
65,POWERSEX
66,ATCLIM
67,1BT0N
68,Îm fast asf boý
69,Hyp v11
70,Me int pas stp
71,Jungle is trash
72,Kylar729
73,Nayeek
74,Captain Nuggett
75,Alpha Doggo
76,Zübo
77,JZS
78,Disruptive
79,ÃrchangelofHöpe
80,Etlaz24
81,MONKIE FLIP
82,4pm
83,Shin Darkstar 
84,xDiel
85,FidgetRina
86,Exorty
87,TahmK ArsSeniC
88,ScoobyDooPamPam
89,RΣΠGAR 2115 
90,TartusFlambus
91,winaOCB
92,U cant carry
93,kαtα αbuser
94,Vol1milch
95,NippLee
96,LeRoiBaguette
97,BrONZ KatARiNa
98,GSF CrazyAs1an
99,Gouhjack
100,Allotel
101,Trô For
102,Kreleqz
103,Auraya
104,Awαken
105,Olid4
106,Tzath
107,Lomalinda King
108,GOD TlER SUPPORT
109,Kíper
110,Lykster
111,PunchToDie
112,Dictat0x
113,voli0n
114,Crepinnette
115,Revresuar
116,BLĂCK
117,Di4mondOPsmurf
118,LORD Tsuba
119,walker of abyss
120,Tr4kT0r306
121,BAN MYSELF IRL
122,Alpha girl xD
123,Kumaha
124,xFrontline ADCx
125,Exhaust CABBAR
126,BRONZE FORTICHE
127,BIG CLOCK 21CM
128,Pr3dictive
129,Alpha Karen
130,KAYNSTRIX
131,Yolo Jïzuschríst
132,Chigiru
133,Phantooom
134,K1ng0fHill
135,EU Toxicity
136,xXxJunGLeK1NGxXx
137,TinTheCan
138,maron32
139,veeeeljkoooo
140,JUNGLE DIFF LADS
141,xspeedy mustafax
142,420 Pound Hoe
143,Little Marten
144,IamKoreanVayne
145,it is JGLs Fault
146,Hold my gun
147,SleepyMiaa
148,Snikos
149,King359
150,Hí Im Píngu
151,GODofCODI
152,Leongold8583
153,Bédodo420
154,BornToKell
155,Dahyuwun
156,Backstabbing
157,Gergedan Ayla
158,Samiz
159,VAHIT GUETTA
160,Elon 000
161,SaKaRose
162,Gevers11
163,Forgive me Bro
164,TriccksteR
165,Tunnie
166,styrm3
167,ol Shadow lo
168,Znuswumriken
169,iCrocGOD
170,ZedTouchLantern
171,Horikon
172,Sharesh TR
173,PeelMeOrDie
174,LL Stylsh
175,The Crazy Húnter
176,RykenWay
177,Jeyde
178,Piöu Piöu
179,Kortnim
180,II   Y A M I  II
181,Fin0AIIaFine
182,Lyoshka
183,SKT T1 Overdeath
184,YISSL
185,Hi im Uziii
186,Next Zêitnot 
187,Not Genji
188,Faciel Ce Jue
189,TEA Cptn
190,Dausen
191,SayYouLoveMe666
192,OzT Bratsky
193,SKT  DeathM4rk
194,Alley Cats
195,i am Eteif 
196,OtpYonne
197,Pro0oKilleR
198,R1ggą
199,Çopy Çat
200,memmeli
201,Shigaraki Ro
202,reidosmacacos300
203,ParaschivX
204,La Hess
0,IMREXXAR
1,Sagrestano
2,Morgensol
3,Ellermann
4,LP Over Girls
5,In Honor of Mata
6,Never rages
