,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
35,0d61be27-5a3b-4f93-a2d2-9056f24c4179,RANKED_SOLO_5x5,DIAMOND,IV,mTRDnpyrfflpLnR1uYxHQi8MJpxHmf7UeB1x61MZmeqIl_R2,CoKayn Abuser,75,803,834,False,False,True,False,
36,64c35f84-f5a7-4970-9f4a-ef5975cc1a82,RANKED_SOLO_5x5,DIAMOND,IV,e11hB2vkH_pVDsxB5mGIqoYz54BrghuklJvxOOL_0jjs7PHP,ZZZZL,9,159,150,False,False,False,False,
37,f42a414d-fecc-4952-bb0b-9aa38644f491,RANKED_SOLO_5x5,DIAMOND,IV,Hy2r1P74crG2eo2VCXdSjJ8aTdL-tkYDZzt9AwwS4L5UwyUn,Kieffergg,39,186,194,False,False,True,True,
38,d3043bb4-d3bc-4279-8c42-45086d702eef,RANKED_SOLO_5x5,DIAMOND,IV,eNMWbSoayN0V0iikg3nS5vS5EpHF2otC8R4Ba_XFOrBCrKwS,SnarkyPakka,0,81,69,False,False,False,False,
39,ec9db164-8146-4a9a-9af1-6ddb11213dac,RANKED_SOLO_5x5,DIAMOND,IV,UUvmBlHPExw-JvipS593xtDSBxCR7HlrsNN-B60mQ8wtfHiA,Bard Bοt,0,169,115,False,False,False,False,
40,55ae4fb6-9223-4495-9ddd-52f2e3f44143,RANKED_SOLO_5x5,DIAMOND,IV,xecNmZADnx4yz5uqEsKj2jNCpRr6WUFCG4UAycr-q93YAc4Q,C Branflakes,0,61,56,False,False,False,False,
41,463f423c-05c0-41ba-b554-8794b92cb29d,RANKED_SOLO_5x5,DIAMOND,IV,v_DqmV4iGi-B8lv8iHqsT9DhrnpGmcf498gggta3McwEa_Vf,Ðavura,0,155,153,True,False,False,False,
42,3d267a97-2fdd-4a8f-88e6-42d52ed0169f,RANKED_SOLO_5x5,DIAMOND,IV,nP_gBVA-XitcVWT_iPDL0GwM2v0Uz9DKIO5E4Uv1mI9EX4na,Ayrras,0,95,71,False,False,False,False,
43,7d2448e4-b69b-4e36-b8dd-c6575e4a6cb8,RANKED_SOLO_5x5,DIAMOND,IV,tc6yY7IBgWs9j7nQCHVWuM8jqB4GUD9Li95X8mvWxzIzBnYR,Im not smurf 31,30,59,60,False,False,False,False,
44,0d61be27-5a3b-4f93-a2d2-9056f24c4179,RANKED_SOLO_5x5,DIAMOND,IV,DmR-fMfUEJxIzdCZSF_zI72O4o-C-zyxxFz_KVRpx9HnjDBz,Seifer141,10,52,53,False,False,False,False,
45,51c846fd-c6fb-400e-80f4-d0c5c5d65546,RANKED_SOLO_5x5,DIAMOND,IV,pJiESFaLrm4hG9cEkXqnieYt16JKIzSNRid-Z-8O9PDRdHfy,Varotzs,76,281,268,False,False,False,False,
46,1a6dd3a6-2d0a-4d28-a6de-bad1f46f5689,RANKED_SOLO_5x5,DIAMOND,IV,Nm2WZCtuA2ZPVddogN5tn6kQ_hPpwueMc9LIwmesk4bUCQnQ,Doates v2,37,16,6,False,False,False,False,
47,05aa23e6-abcd-45ed-aa39-0abd43288345,RANKED_SOLO_5x5,DIAMOND,IV,JH_ywvBAP666BYMUdZLHf3hexjyI7kvQzLCDweW5imp-BCSf,X ˉˉˉˉˉˉ D,29,207,199,True,False,False,False,
48,8bac4ef2-099d-4900-9231-6c680b49387e,RANKED_SOLO_5x5,DIAMOND,IV,9pm9kkIEdE7qg69gg1gcACNOQ4GCMaB1LTyCQHgQyYiOpBw7,OoKAARIIIIIMoO,9,110,65,False,False,False,False,
49,46cf6990-9df2-4662-b325-b6c3e03121f5,RANKED_SOLO_5x5,DIAMOND,IV,UHymuTmatsKDVclKulHe4etDk1raVhjT64k7-z9qtnK8HbPQ,Mìmí,17,101,81,False,False,False,False,
50,71ac689e-488e-44f2-b89a-e1b5ac3aec92,RANKED_SOLO_5x5,DIAMOND,IV,P7TlREHGjA08rR08ktEzOrQFqYHE1rTuISvEDM4_otkwKMuE,R3tarded Aut1st,6,91,45,False,False,False,False,
51,2175a517-feac-4c37-a82d-226625b19ca1,RANKED_SOLO_5x5,DIAMOND,IV,9-QnG0qWbGFoTZSSEZZbIH3wMRbimkwT8BkQdi-lReZPnQ5h,Zakkã,96,521,516,False,False,False,False,
52,2cd00a5d-678b-4e9e-83b0-b56697a2be06,RANKED_SOLO_5x5,DIAMOND,IV,IWxoBdf4oH-UQ1ReShlYRt5cvwk5RdBKptjDo3HtPL4qMplG,LTF RicardoMilos,0,150,171,False,False,False,False,
53,41d71f00-26c6-4534-b6b5-aed4804b778e,RANKED_SOLO_5x5,DIAMOND,IV,8B9IkkGbFj2XKDruEGTACdN9dS-TlRqe9PAT54_YFc8C1p4i,Noãh,77,142,135,False,False,False,False,
54,0aecda46-d40d-4b11-9835-f69a51fcabc3,RANKED_SOLO_5x5,DIAMOND,IV,BEGrKu-neNKPfmhunJq9EPHcXmRJ_VP1PhWaVDcnGslfrkht,ßear ωith mε,46,351,328,False,False,False,False,
55,aabe201c-43c1-4a8b-a994-209cf4eef008,RANKED_SOLO_5x5,DIAMOND,IV,lQjEGxtR3brGDwrOVDPP2mLKqvkFnYmvIqtiSVGUHgGzuxVr,Kazuo Yamashıta,61,216,200,False,False,False,True,
56,67a1f7ec-5c70-441a-a922-27aa2c1a9e07,RANKED_SOLO_5x5,DIAMOND,IV,CCCmAVOsfCf4rAn5oWDiDn7U4gs53E_Yz8GDL_hd1XrlKrv9,Jrkzz,0,43,52,False,False,False,False,
57,fe4357d0-5d0f-4942-9efd-2f6353a04e4c,RANKED_SOLO_5x5,DIAMOND,IV,9HOxcJQDw1c6pKkCO25ey5O8oErkfqUOs5EufwRJISu7DKK4,Svimmelbimmel,75,86,77,False,False,False,False,
58,48eadc74-0ff3-476a-89d5-9634294f0552,RANKED_SOLO_5x5,DIAMOND,IV,WvmHQ3NFC35zokVL0efYtpP4ZTixkXQcMEj9OIjxS-LCa9-1,SpinnerGaren,0,75,80,False,False,False,False,
59,a44d773e-cff5-4065-aab5-cf859df673b5,RANKED_SOLO_5x5,DIAMOND,IV,ovjFxsFItp6DS62zkABN7FlhzY0bxTrhq9_k_qjmj9PfqOs9,Peanut brother,28,163,131,False,False,False,False,
60,bd618839-01ad-4445-b702-68fd340baa46,RANKED_SOLO_5x5,DIAMOND,IV,pzHaSwi-utPJ_5NW_Wi8f2JdT87Fvh7HJp1zb4UmuOvPVX66,LimiTless0727,0,220,208,False,False,False,False,
61,b7ab94d2-543e-4a6c-a5f2-6b3a553f0ed2,RANKED_SOLO_5x5,DIAMOND,IV,0_5ybPdDvFwDZSd9PdZ7-nFyatj51rVjr4IIfArYvI7Zh6Tf,ad Tempus,56,23,21,False,False,True,False,
62,4b8d6a81-c665-43bd-a2c8-8b7089dcbac5,RANKED_SOLO_5x5,DIAMOND,IV,1eRlDjkLdGLIWJc1WJKk9yNLfNODxO-0n5kX2hz79jMyFock,LaBraguetteOP,54,233,212,False,False,False,True,
63,bdaac63f-de54-4af9-be1b-5c3b74807e94,RANKED_SOLO_5x5,DIAMOND,IV,4tmo6k9b6hG9GPLnN9gtAhZOhQSb7Bl5W9EJktpLcujHatdZ,Envy and Regret,16,221,218,False,False,False,False,
64,1ea963fc-73c9-4033-b556-096eb75474d3,RANKED_SOLO_5x5,DIAMOND,IV,8OKYqZ35MAQ_d7x27uLfHlufpR1XTGBBvWk9wEfQutqt1Fe1,Ak4za Hakuji,0,103,85,False,False,False,False,
65,4562ee24-4ed6-4900-908b-1a707029a3f4,RANKED_SOLO_5x5,DIAMOND,IV,C7WZDpK9byP6iw7fsIwgjBQ0Ia2NK19YgjzneJEVRJC9R3IV,WachinMachine,100,178,165,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
66,27bae64a-d727-4166-a5c4-8df103fbaec6,RANKED_SOLO_5x5,DIAMOND,IV,8w7O1Iq-bMp_WHZ8aUuZ1VhGl9ly0y310MZaV2wY-8YwssOz,Tokkzz,0,96,89,False,False,True,False,
67,88ee64ae-52b3-4ec0-a92f-ed8b6b0ba2ae,RANKED_SOLO_5x5,DIAMOND,IV,efpKibcY4NJOz_KVKaYIqjeLNpBpZnYQCp0uNYk1ZgXEUza9,stin valor v2,11,39,27,False,False,False,False,
68,eb66b228-28a3-4650-9c3c-af7130137d68,RANKED_SOLO_5x5,DIAMOND,IV,_kuhGxG63HIf7YzdxmP4iOgr_yPrVFYD2UGLkq2y9ABThpW-,Lösa05orOchNeråt,0,255,244,False,False,False,False,
69,fc26aeef-9382-4da6-aecc-702056c20291,RANKED_SOLO_5x5,DIAMOND,IV,heznuQK94UrjkLfUDRPiOpXFcAmmeRCyJKEkHjM2XIohKsiF,the hump trump,0,716,717,True,False,False,False,
70,23deadaa-a420-4831-a214-5a2f49dc6528,RANKED_SOLO_5x5,DIAMOND,IV,vTV0zCj88jXnCGYykwdAbtp8FxiNrq0rmoL-NiInCIgrhNoe,Rotcher,28,60,48,False,False,False,False,
71,cc78b8c9-c226-4d94-a2d5-d8b199009f40,RANKED_SOLO_5x5,DIAMOND,IV,_st4R8pROBgTnCILyQ__dA_wfD-uTZ2L81GP9SH1Quf07Eh-,ÐEMON,0,292,323,False,False,False,False,
72,71a4d346-ea5b-4722-a7d2-825cc2698f1b,RANKED_SOLO_5x5,DIAMOND,IV,4g-1SfQ-HfoBzI7uVbcM3NtYzNSbkBwztdTJey2gg_sQYvgd,White Mustang,25,104,108,False,False,False,True,
73,63477cd3-92a2-49be-99f0-cb9eda1e6891,RANKED_SOLO_5x5,DIAMOND,IV,LSXxKBzwK8c3n-XOe5Ve9AflKWmALq5jxsBr3swZGvADmECc,Braat,21,89,70,False,False,False,False,
74,74841f58-0c96-472f-a5c5-4cf71247a5c8,RANKED_SOLO_5x5,DIAMOND,IV,reojWtHd13Oh96hK3_4zde_FpBDyK4LSVnpZc3QbSWyEZNuJ,Trash Hardstuck,8,319,334,False,False,False,False,
75,e09c4996-91e4-475d-ba60-051381c38ce8,RANKED_SOLO_5x5,DIAMOND,IV,XufP8nhiJ_IPUdgPDLQpS3m7UXoY-MrGFzmHKUK-YlscAQTI,Vankell,63,51,46,False,False,False,False,
76,ade103fb-f7fb-4ca5-bbe1-c3a95b4a219f,RANKED_SOLO_5x5,DIAMOND,IV,JLkwKa9uZMeV4NitBNhexuR92j0HH3dpFz9iPai4kbUTdrfL,Turkish March,66,136,150,False,False,False,False,
77,c1a6f92d-9d62-42fa-9450-cc6fabdff845,RANKED_SOLO_5x5,DIAMOND,IV,VTWtbwZ_2i9hhQNoTJfNw_EzddDv8xvJnxwNVV2OpyQeqhP1,DG gribbidy,0,354,353,False,False,False,False,
78,5e7e0c41-8fda-47fd-8de6-4ff65cdbf066,RANKED_SOLO_5x5,DIAMOND,IV,9fn1RKfoAS34alEIbJJDXyz0Khxjodo59IVZTlFptVjeGbmu,Georg Lindemann2,87,62,25,False,False,True,False,
79,bdaac63f-de54-4af9-be1b-5c3b74807e94,RANKED_SOLO_5x5,DIAMOND,IV,jrqBwzacYL86E6byXx4zm4omxcf3AC3nf00aDPiP1ck5j_Cb,Stupid Teemo,0,70,60,False,False,False,True,
80,b912392d-668f-433d-b3bb-767775c51189,RANKED_SOLO_5x5,DIAMOND,IV,PFXBE0ZcHW-gKf00zdE7okZKFMGBuCyjyszRGRQJ3ypGaL0G,Thormaul,35,676,691,False,False,False,False,
81,bab2394d-0cad-43dc-88db-ab7a4a67198a,RANKED_SOLO_5x5,DIAMOND,IV,qH_sJ-h-R-cA_jvbOw8ERJtJnnL0dughTjMC0X3hT-3l_p4p,xdoubI3 ll,0,21,7,False,False,True,False,
